epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5008,1.30603,2.23364,1.69773,0.5922,0.47494,0.50073,0.2584,1.69747,2.94485,2.34847,0.000237242,0.000237242,0.000237242
2,102.385,1.33481,1.73872,1.68893,0.43054,0.45228,0.41458,0.21363,1.70597,2.77535,2.35261,0.000465832,0.000465832,0.000465832
3,149.954,1.31252,1.64073,1.67609,0.56328,0.52941,0.56192,0.31008,1.71715,2.08694,2.29189,0.000684998,0.000684998,0.000684998
4,197.262,1.26276,1.50541,1.62509,0.6193,0.57762,0.59055,0.33446,1.62553,2.07242,2.19488,0.000671588,0.000671588,0.000671588
5,244.768,1.21866,1.39313,1.59522,0.68607,0.64711,0.68975,0.3927,1.55204,1.76434,2.05675,0.000657451,0.000657451,0.000657451
6,292.269,1.16564,1.28593,1.54504,0.74151,0.6815,0.74193,0.44329,1.5649,1.57046,2.1196,0.000643314,0.000643314,0.000643314
7,339.266,1.12367,1.19274,1.51486,0.6722,0.70631,0.71049,0.45584,1.45117,1.42615,1.96032,0.000629177,0.000629177,0.000629177
8,386.365,1.11793,1.1617,1.50903,0.76223,0.72803,0.78514,0.4915,1.4221,1.37445,1.89624,0.00061504,0.00061504,0.00061504
9,433.498,1.09941,1.09702,1.49347,0.77439,0.73483,0.80108,0.50848,1.42954,1.32983,1.89958,0.000600902,0.000600902,0.000600902
10,480.526,1.06489,1.05263,1.47007,0.82014,0.76544,0.83402,0.52949,1.39693,1.2544,1.87463,0.000586765,0.000586765,0.000586765
11,527.466,1.05508,1.00055,1.45754,0.76125,0.75625,0.7974,0.52237,1.3854,1.31914,1.86697,0.000572628,0.000572628,0.000572628
12,574.321,1.03324,0.96907,1.43901,0.79143,0.74708,0.8195,0.54196,1.32685,1.12199,1.81402,0.000558491,0.000558491,0.000558491
13,621.433,1.00298,0.93008,1.41977,0.81898,0.77756,0.82722,0.55818,1.34421,1.15306,1.82983,0.000544354,0.000544354,0.000544354
14,668.5,0.9969,0.90686,1.41533,0.81802,0.79297,0.825,0.52977,1.41986,1.16372,1.87022,0.000530216,0.000530216,0.000530216
15,715.17,0.97602,0.84431,1.3913,0.81666,0.79306,0.84061,0.57462,1.30925,1.04039,1.79577,0.000516079,0.000516079,0.000516079
16,762.352,0.96174,0.84896,1.38646,0.85885,0.80653,0.85032,0.56749,1.31958,0.97248,1.77962,0.000501942,0.000501942,0.000501942
17,809.3,0.95442,0.81417,1.38651,0.80232,0.79981,0.83014,0.56321,1.28376,1.2377,1.7437,0.000487805,0.000487805,0.000487805
18,856.278,0.94568,0.80302,1.37662,0.84319,0.78638,0.86928,0.59816,1.2897,0.9981,1.75528,0.000473668,0.000473668,0.000473668
19,903.631,0.93987,0.77211,1.36779,0.837,0.78861,0.82657,0.55722,1.29303,1.25089,1.74537,0.00045953,0.00045953,0.00045953
20,950.612,0.91669,0.754,1.35402,0.84714,0.80541,0.86013,0.58563,1.26078,1.09092,1.72973,0.000445393,0.000445393,0.000445393
21,997.722,0.91034,0.75203,1.3483,0.84795,0.8308,0.87297,0.60498,1.28472,1.00643,1.72257,0.000431256,0.000431256,0.000431256
22,1045.57,0.90562,0.72773,1.34293,0.8495,0.81993,0.86812,0.60701,1.20725,0.96284,1.70158,0.000417119,0.000417119,0.000417119
23,1093.77,0.8863,0.71048,1.32965,0.86312,0.82211,0.86156,0.59986,1.25958,0.99384,1.71715,0.000402982,0.000402982,0.000402982
24,1140.96,0.87574,0.71107,1.32631,0.83049,0.79187,0.83009,0.58133,1.23233,1.06045,1.70161,0.000388844,0.000388844,0.000388844
25,1187.82,0.86586,0.67846,1.31672,0.86204,0.8181,0.87022,0.6197,1.23258,0.94033,1.69917,0.000374707,0.000374707,0.000374707
26,1235.03,0.85624,0.67372,1.31386,0.84439,0.82351,0.85096,0.60255,1.21791,0.94235,1.68656,0.00036057,0.00036057,0.00036057
27,1282,0.85084,0.65658,1.30866,0.84477,0.84569,0.85307,0.60781,1.22819,0.9223,1.68838,0.000346433,0.000346433,0.000346433
28,1328.81,0.82684,0.63412,1.29272,0.88023,0.82965,0.89046,0.62931,1.19766,0.89086,1.66709,0.000332296,0.000332296,0.000332296
29,1375.92,0.82162,0.6285,1.28347,0.88003,0.84108,0.87328,0.62899,1.18234,0.86277,1.64241,0.000318158,0.000318158,0.000318158
30,1422.76,0.79861,0.6082,1.27311,0.88936,0.83682,0.89488,0.64391,1.15354,0.80414,1.63209,0.000304021,0.000304021,0.000304021
31,1470.12,0.80076,0.60777,1.27225,0.87358,0.8541,0.8993,0.65095,1.14254,0.80438,1.61854,0.000289884,0.000289884,0.000289884
32,1517.32,0.78424,0.5914,1.26527,0.89677,0.83506,0.89731,0.64852,1.16628,0.798,1.63644,0.000275747,0.000275747,0.000275747
33,1564.23,0.78794,0.59168,1.26451,0.88712,0.85791,0.90975,0.65558,1.1329,0.78578,1.60696,0.00026161,0.00026161,0.00026161
34,1611.71,0.77321,0.57396,1.25261,0.84511,0.8445,0.86483,0.632,1.15764,0.85984,1.64404,0.000247472,0.000247472,0.000247472
35,1658.74,0.75992,0.5586,1.2458,0.86458,0.83831,0.8667,0.64656,1.13965,0.86808,1.63235,0.000233335,0.000233335,0.000233335
36,1705.77,0.7598,0.55177,1.24514,0.88242,0.84564,0.8733,0.64717,1.11172,0.82577,1.58911,0.000219198,0.000219198,0.000219198
37,1752.7,0.75086,0.54037,1.2357,0.89899,0.84576,0.90814,0.66447,1.10332,0.77258,1.56681,0.000205061,0.000205061,0.000205061
38,1800.1,0.72914,0.53035,1.22464,0.88966,0.85158,0.88806,0.65157,1.12797,0.84659,1.61236,0.000190924,0.000190924,0.000190924
39,1846.98,0.73025,0.51611,1.21733,0.89255,0.85107,0.88314,0.64492,1.14126,0.82752,1.61982,0.000176786,0.000176786,0.000176786
40,1894.01,0.71669,0.51115,1.21221,0.86978,0.84214,0.8844,0.6553,1.09762,0.79836,1.60553,0.000162649,0.000162649,0.000162649
41,1942.44,0.7105,0.35532,1.30825,0.88063,0.87293,0.88587,0.64691,1.10016,0.74564,1.59652,0.000148512,0.000148512,0.000148512
42,1989.2,0.67923,0.32137,1.27149,0.87871,0.83673,0.88484,0.65609,1.09656,0.79685,1.59403,0.000134375,0.000134375,0.000134375
43,2035.94,0.66755,0.31368,1.27431,0.86369,0.85865,0.87452,0.65049,1.09596,0.85755,1.5985,0.000120238,0.000120238,0.000120238
44,2082.48,0.65513,0.30351,1.25625,0.88949,0.83152,0.88691,0.66511,1.08996,0.80191,1.59507,0.0001061,0.0001061,0.0001061
45,2129.18,0.63309,0.29626,1.23872,0.87975,0.86341,0.89508,0.66727,1.07322,0.77087,1.59118,9.19632e-05,9.19632e-05,9.19632e-05
46,2176.35,0.6192,0.28406,1.22361,0.84211,0.86355,0.86325,0.65424,1.05444,0.83682,1.58088,7.7826e-05,7.7826e-05,7.7826e-05
47,2223.13,0.60421,0.27719,1.21186,0.86208,0.86743,0.87356,0.6593,1.06296,0.79925,1.59592,6.36888e-05,6.36888e-05,6.36888e-05
48,2269.85,0.60093,0.27237,1.21059,0.86684,0.87553,0.88953,0.6704,1.05771,0.77548,1.59187,4.95516e-05,4.95516e-05,4.95516e-05
