epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8692.72,0.66323,0.58675,1.09267,0.91708,0.87897,0.92844,0.80021,0.59413,0.36483,1.00329,0.005842,0.005842,0.005842
44,8894.94,0.66127,0.58702,1.09034,0.91118,0.88696,0.93009,0.80101,0.59326,0.36492,1.00282,0.005743,0.005743,0.005743
45,9096.87,0.65537,0.57617,1.0847,0.91921,0.87995,0.92984,0.80127,0.59177,0.36392,1.00174,0.005644,0.005644,0.005644
46,9299.22,0.65762,0.5773,1.08645,0.91821,0.88359,0.93059,0.80199,0.58991,0.36272,1.00035,0.005545,0.005545,0.005545
47,9501.41,0.65324,0.56671,1.08207,0.91897,0.88566,0.93084,0.80289,0.58806,0.362,0.99855,0.005446,0.005446,0.005446
48,9703.85,0.64387,0.55597,1.07666,0.92037,0.8852,0.93144,0.8042,0.58718,0.36191,0.99767,0.005347,0.005347,0.005347
49,9906.16,0.63843,0.55229,1.07647,0.9161,0.88865,0.93171,0.80399,0.58605,0.36095,0.9966,0.005248,0.005248,0.005248
50,10108.2,0.6434,0.5495,1.0774,0.90989,0.89317,0.93175,0.80489,0.5846,0.36003,0.99547,0.005149,0.005149,0.005149
51,10310.5,0.63938,0.54955,1.07661,0.90924,0.89599,0.93224,0.80574,0.58359,0.35992,0.99467,0.00505,0.00505,0.00505
52,10513.4,0.6373,0.54242,1.07477,0.91439,0.8931,0.93218,0.80678,0.58246,0.35917,0.99444,0.004951,0.004951,0.004951
53,10715.5,0.63064,0.53582,1.07156,0.91973,0.89087,0.93255,0.80784,0.58137,0.35727,0.99433,0.004852,0.004852,0.004852
54,10918,0.62902,0.53459,1.07106,0.91949,0.89103,0.93248,0.80841,0.58023,0.35637,0.99397,0.004753,0.004753,0.004753
55,11120.6,0.62319,0.5259,1.06857,0.91679,0.89317,0.93305,0.80973,0.57978,0.35507,0.99393,0.004654,0.004654,0.004654
56,11323.2,0.62297,0.52116,1.0664,0.91788,0.89534,0.93283,0.80943,0.57916,0.3543,0.9935,0.004555,0.004555,0.004555
57,11525.1,0.61714,0.51835,1.06344,0.91631,0.8954,0.93286,0.80996,0.57859,0.35347,0.993,0.004456,0.004456,0.004456
58,11727.7,0.61954,0.51172,1.06599,0.91596,0.89561,0.93264,0.81048,0.57713,0.35305,0.99192,0.004357,0.004357,0.004357
59,11929.9,0.61374,0.50646,1.06095,0.91582,0.89749,0.93327,0.8111,0.57636,0.35228,0.99143,0.004258,0.004258,0.004258
60,12132.3,0.61088,0.50283,1.0593,0.91736,0.89541,0.93278,0.81183,0.57531,0.35152,0.99054,0.004159,0.004159,0.004159
61,12334.7,0.60563,0.50028,1.05538,0.91849,0.8945,0.93283,0.81258,0.57441,0.35104,0.98982,0.00406,0.00406,0.00406
62,12537.4,0.59883,0.48788,1.05202,0.92053,0.89386,0.93321,0.81284,0.57337,0.35012,0.9895,0.003961,0.003961,0.003961
63,12740,0.59807,0.48927,1.05118,0.92158,0.89305,0.9333,0.81274,0.5725,0.34956,0.98885,0.003862,0.003862,0.003862
64,12942.2,0.5958,0.48405,1.05081,0.91402,0.89786,0.93359,0.81344,0.57162,0.34866,0.9883,0.003763,0.003763,0.003763
65,13144.5,0.5857,0.47492,1.04694,0.91863,0.8956,0.93375,0.81441,0.57058,0.34849,0.98759,0.003664,0.003664,0.003664
66,13347.3,0.58639,0.46836,1.04505,0.91292,0.903,0.93439,0.81512,0.56953,0.34824,0.98699,0.003565,0.003565,0.003565
67,13550.1,0.58477,0.46522,1.04331,0.91214,0.90398,0.93455,0.81531,0.56845,0.34763,0.98619,0.003466,0.003466,0.003466
68,13752.1,0.57929,0.46415,1.04285,0.91282,0.90325,0.93533,0.81643,0.56744,0.34685,0.98572,0.003367,0.003367,0.003367
69,13954.8,0.57482,0.46066,1.03967,0.91478,0.90511,0.93516,0.81659,0.56638,0.34616,0.98511,0.003268,0.003268,0.003268
70,14157.5,0.57336,0.45216,1.03793,0.9116,0.90542,0.93517,0.81681,0.56527,0.34511,0.98454,0.003169,0.003169,0.003169
71,14360.4,0.57327,0.44834,1.0369,0.91297,0.90622,0.93578,0.81746,0.56424,0.34414,0.98375,0.00307,0.00307,0.00307
72,14563.1,0.56751,0.44596,1.03475,0.91397,0.90548,0.936,0.81768,0.56324,0.34294,0.98283,0.002971,0.002971,0.002971
73,14765.5,0.5633,0.44355,1.03365,0.91526,0.90378,0.93618,0.81852,0.56212,0.34208,0.98211,0.002872,0.002872,0.002872
74,14968.4,0.56205,0.43546,1.03407,0.91377,0.90573,0.93668,0.81936,0.56102,0.34161,0.98127,0.002773,0.002773,0.002773
75,15171.3,0.55035,0.42811,1.02498,0.91254,0.90629,0.93697,0.82059,0.56013,0.34037,0.98051,0.002674,0.002674,0.002674
76,15374,0.55215,0.42926,1.02744,0.91421,0.90285,0.9362,0.82099,0.55905,0.33943,0.97968,0.002575,0.002575,0.002575
77,15576.5,0.54498,0.41906,1.02385,0.91508,0.90388,0.93695,0.82168,0.55834,0.33844,0.97922,0.002476,0.002476,0.002476
78,15779.6,0.54251,0.41794,1.02019,0.91273,0.90415,0.9364,0.8222,0.55743,0.3374,0.97866,0.002377,0.002377,0.002377
79,15982.5,0.54191,0.4195,1.0209,0.91546,0.90228,0.93661,0.82273,0.55635,0.33648,0.97795,0.002278,0.002278,0.002278
80,16185,0.53401,0.40889,1.01871,0.91888,0.90391,0.93816,0.82263,0.55525,0.33515,0.97718,0.002179,0.002179,0.002179
